,dt,user,lon,lat
2101,9.0,5.0,0.42971747547162586,0.4528515104405336
2603,9.0,6.0,0.5359240250005888,0.2650566164146867
61,9.0,7.0,1.2432194310592588,1.8330085859525878
3103,9.0,7.0,0.902728006840644,0.09085756080043517
3601,9.0,8.0,1.0984741924169081,0.4946839721114541
4601,9.0,10.0,0.8593260266089727,0.3018653336500319
8100,9.0,17.0,1.0411179476075902,0.02955866255055306
21,10.0,3.0,1.8890599648721964,1.192883045565079
42,10.0,5.0,1.2562010087232114,0.993485649102737
2102,10.0,5.0,0.4298016297794681,0.4528416197947912
5601,10.0,12.0,0.9892959501222925,0.2113578022666599
6602,10.0,14.0,0.5640325794516505,0.8596083775453385
43,11.0,5.0,1.2562978197048427,0.9934724895147576
2103,11.0,5.0,0.4298984407610994,0.4528284602068119
62,11.0,7.0,1.243360163213509,1.8329980247545916
3104,11.0,7.0,0.9029282505074121,0.0908332532812377
74,11.0,8.0,1.1733009939911718,1.6132464271084823
3602,11.0,8.0,1.098269841617586,0.4946697228760625
5101,11.0,11.0,0.569724392713711,0.08548578508295379
8601,11.0,18.0,0.2736601699143648,0.9032069672072154
9101,11.0,19.0,0.17423084658418708,0.2586477649076695
63,12.0,7.0,1.2434511068629202,1.8329935823459107
3105,12.0,7.0,0.9030323537448026,0.09081648947489462
91,12.0,10.0,1.8886672941702138,1.70079535335787
9602,12.0,20.0,0.1960718610778336,0.14622947201771663
54,13.0,6.0,1.6003389558242982,1.8278249019031276
3603,13.0,8.0,1.0980585338386315,0.49466041896354207
1601,14.0,4.0,0.40872179386484464,0.3475607511234642
44,14.0,5.0,1.2566248815665961,0.9934232877431407
2104,14.0,5.0,0.43022550262285286,0.45277925843519495
64,14.0,7.0,1.2436513505296882,1.8329692748267132
3106,14.0,7.0,0.9032534683504678,0.0907776812632104
8101,14.0,17.0,1.0413882639848724,0.029539300354226805
31,15.0,4.0,1.1923786850210236,1.0284363761748287
2604,15.0,6.0,0.5353623536690639,0.2650546047579255
65,15.0,7.0,1.2437554537670787,1.8329525110203702
4602,15.0,10.0,0.8597698483819057,0.30173449214152415
5602,15.0,12.0,0.9897395204381304,0.21131941315013425
7102,15.0,15.0,0.3675059141262913,0.3697016898124542
101,16.0,1.0,0.8144121268922172,0.787725288140924
45,16.0,5.0,1.2568408832113267,0.9933850662646785
2105,16.0,5.0,0.43044150426758343,0.45274103695673273
3107,16.0,7.0,0.9034226989755012,0.09069252112698756
75,16.0,8.0,1.1730000836673136,1.6131450898991384
3604,16.0,8.0,1.097817805579545,0.4946257178844119
6101,16.0,13.0,1.0128732263357638,0.5739975445020851
46,17.0,5.0,1.256933251784277,0.9933484373478189
2106,17.0,5.0,0.4305338728405338,0.4527044080398731
55,17.0,6.0,1.6000669630663817,1.8277645522002925
66,17.0,7.0,1.243976568372744,1.832913702808686
6603,17.0,14.0,0.5646337295471133,0.8594835710071143
9603,17.0,20.0,0.1964753658965115,0.1461241953138821
92,18.0,10.0,1.8891111159431468,1.7006645118493622
2,19.0,1.0,1.7202165850035132,1.152114717498532
1102,19.0,3.0,0.5227100180431155,0.4722047810420802
2605,19.0,6.0,0.5350903609111475,0.26499425505509044
67,19.0,7.0,1.2441457989977773,1.832828542672463
9102,19.0,19.0,0.17479897198115402,0.25857224396009393
12,20.0,2.0,1.3403425730898957,0.9878478692087597
3108,20.0,7.0,0.9035820389547922,0.09046428190362654
7602,20.0,16.0,0.6186592478536608,0.35011766768684016
602,21.0,2.0,0.791766741964513,0.08618271933754962
47,21.0,5.0,1.257157970608306,0.9931191084770455
2107,21.0,5.0,0.43075859166456276,0.4524750791690998
56,21.0,6.0,1.5997919528233235,1.8276844212059726
3109,21.0,7.0,0.9036130519965269,0.09040762023818694
3605,21.0,8.0,1.0975168952556866,0.494524380675068
5603,21.0,12.0,0.9902431889997082,0.21119812701124208
22,22.0,3.0,1.8899190261282475,1.1926476817240221
1602,22.0,4.0,0.4093014862881883,0.34738892210844763
76,22.0,8.0,1.172680397880351,1.6129836544440546
